date,time,line_short_code,headsign,freq_in_sec
22-Jul-22,3:45:04 PM,KJL,to Gombak,420
22-Jul-22,3:45:06 PM,KJL,to Putra Heights,420
22-Jul-22,3:45:06 PM,MRL,to Titiwangsa,300
22-Jul-22,3:45:07 PM,MRL,to KL Sentral,300
22-Jul-22,3:45:07 PM,SPL,to Sentul Timur,840
22-Jul-22,3:45:09 PM,SPL,to Putra Heights,840
22-Jul-22,3:45:09 PM,SPL,to Sentul Timur,840
22-Jul-22,3:45:10 PM,SPL,to Putra Heights,840
22-Jul-22,3:45:12 PM,PYL,to Putrajaya,360
22-Jul-22,3:45:12 PM,PYL,to Kwasa Damansara,360
22-Jul-22,3:50:03 PM,AGL,to Sentul Timur,600
22-Jul-22,3:50:03 PM,AGL,to Ampang,600
22-Jul-22,3:50:05 PM,KGL,to Kajang,480
22-Jul-22,3:50:05 PM,KGL,to Kwasa Damansara,480
22-Jul-22,3:50:06 PM,KJL,to Gombak,420
22-Jul-22,3:50:06 PM,KJL,to Putra Heights,420
22-Jul-22,3:50:08 PM,MRL,to Titiwangsa,300
22-Jul-22,3:50:09 PM,MRL,to KL Sentral,300
22-Jul-22,3:50:09 PM,SPL,to Sentul Timur,840
22-Jul-22,3:50:10 PM,SPL,to Putra Heights,840
22-Jul-22,3:50:10 PM,SPL,to Sentul Timur,840
22-Jul-22,3:50:12 PM,SPL,to Putra Heights,840
22-Jul-22,3:50:12 PM,PYL,to Putrajaya,360
22-Jul-22,3:50:13 PM,PYL,to Kwasa Damansara,360
22-Jul-22,3:55:03 PM,AGL,to Sentul Timur,600
22-Jul-22,3:55:03 PM,AGL,to Ampang,600
22-Jul-22,3:55:04 PM,KGL,to Kajang,480
22-Jul-22,3:55:04 PM,KGL,to Kwasa Damansara,480
22-Jul-22,3:55:05 PM,KJL,to Gombak,420
22-Jul-22,3:55:05 PM,KJL,to Putra Heights,420
22-Jul-22,3:55:07 PM,MRL,to Titiwangsa,300
22-Jul-22,3:55:07 PM,MRL,to KL Sentral,300
22-Jul-22,3:55:09 PM,SPL,to Sentul Timur,840
22-Jul-22,3:55:09 PM,SPL,to Putra Heights,840
22-Jul-22,3:55:10 PM,SPL,to Sentul Timur,840
22-Jul-22,3:55:10 PM,SPL,to Putra Heights,840
22-Jul-22,3:55:11 PM,PYL,to Putrajaya,360
22-Jul-22,3:55:11 PM,PYL,to Kwasa Damansara,360
22-Jul-22,4:00:02 PM,AGL,to Sentul Timur,480
22-Jul-22,4:00:02 PM,AGL,to Ampang,480
22-Jul-22,4:00:03 PM,KGL,to Kajang,480
22-Jul-22,4:00:03 PM,KGL,to Kwasa Damansara,480
22-Jul-22,4:00:05 PM,KJL,to Gombak,420
22-Jul-22,4:00:05 PM,KJL,to Putra Heights,420
22-Jul-22,4:00:06 PM,MRL,to Titiwangsa,300
22-Jul-22,4:00:06 PM,MRL,to KL Sentral,300
22-Jul-22,4:00:08 PM,SPL,to Sentul Timur,840
22-Jul-22,4:00:08 PM,SPL,to Putra Heights,840
22-Jul-22,4:00:09 PM,SPL,to Sentul Timur,840
22-Jul-22,4:00:09 PM,SPL,to Putra Heights,840
22-Jul-22,4:00:10 PM,PYL,to Putrajaya,360
22-Jul-22,4:00:11 PM,PYL,to Kwasa Damansara,360
22-Jul-22,4:05:01 PM,AGL,to Sentul Timur,480
22-Jul-22,4:05:02 PM,AGL,to Ampang,480
22-Jul-22,4:05:04 PM,KGL,to Kajang,480
22-Jul-22,4:05:04 PM,KGL,to Kwasa Damansara,480
22-Jul-22,4:05:06 PM,KJL,to Gombak,420
22-Jul-22,4:05:07 PM,KJL,to Putra Heights,420
22-Jul-22,4:05:07 PM,MRL,to Titiwangsa,300
22-Jul-22,4:05:09 PM,MRL,to KL Sentral,300
22-Jul-22,4:05:09 PM,SPL,to Sentul Timur,840
22-Jul-22,4:05:10 PM,SPL,to Putra Heights,840
22-Jul-22,4:05:11 PM,SPL,to Sentul Timur,840
22-Jul-22,4:05:12 PM,SPL,to Putra Heights,840
22-Jul-22,4:05:12 PM,PYL,to Putrajaya,360
22-Jul-22,4:05:13 PM,PYL,to Kwasa Damansara,360
22-Jul-22,4:10:02 PM,AGL,to Sentul Timur,480
22-Jul-22,4:10:03 PM,AGL,to Ampang,480
22-Jul-22,4:10:05 PM,KGL,to Kajang,480
22-Jul-22,4:10:06 PM,KGL,to Kwasa Damansara,480
22-Jul-22,4:10:08 PM,KJL,to Gombak,420
22-Jul-22,4:10:08 PM,KJL,to Putra Heights,420
22-Jul-22,4:10:09 PM,MRL,to Titiwangsa,300
22-Jul-22,4:10:09 PM,MRL,to KL Sentral,300
22-Jul-22,4:10:11 PM,SPL,to Sentul Timur,840
22-Jul-22,4:10:11 PM,SPL,to Putra Heights,840
22-Jul-22,4:10:12 PM,SPL,to Sentul Timur,840
22-Jul-22,4:10:12 PM,SPL,to Putra Heights,840
22-Jul-22,4:10:14 PM,PYL,to Putrajaya,360
22-Jul-22,4:10:14 PM,PYL,to Kwasa Damansara,360
22-Jul-22,4:15:02 PM,AGL,to Sentul Timur,480
22-Jul-22,4:15:02 PM,AGL,to Ampang,480
22-Jul-22,4:15:04 PM,KGL,to Kajang,480
22-Jul-22,4:15:04 PM,KGL,to Kwasa Damansara,480
22-Jul-22,4:15:05 PM,KJL,to Gombak,420
22-Jul-22,4:15:05 PM,KJL,to Putra Heights,420
22-Jul-22,4:15:07 PM,MRL,to Titiwangsa,300
22-Jul-22,4:15:07 PM,MRL,to KL Sentral,300
22-Jul-22,4:15:09 PM,SPL,to Sentul Timur,840
22-Jul-22,4:15:09 PM,SPL,to Putra Heights,840
22-Jul-22,4:15:10 PM,SPL,to Sentul Timur,840
22-Jul-22,4:15:12 PM,SPL,to Putra Heights,840
22-Jul-22,4:15:12 PM,PYL,to Putrajaya,360
22-Jul-22,4:15:14 PM,PYL,to Kwasa Damansara,360
22-Jul-22,4:20:01 PM,AGL,to Sentul Timur,480
22-Jul-22,4:20:02 PM,AGL,to Ampang,480
22-Jul-22,4:20:04 PM,KGL,to Kajang,480
22-Jul-22,4:20:05 PM,KGL,to Kwasa Damansara,480
